date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
1979-06-01,WA,CHEHALIS,Hurricane,Night,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,34,30,null,null,2000,null,1,CESSNA,T210M,null,PILOT OUT OF FUEL 15 MILES FROM DESTINATION AIRPORT.
1979-06-06,IL,CAHOKIA,null,Day,9,null,Improper Level Off,Hard Landing,19,29,null,null,29,null,1,CESSNA,150,null,STUDENT PILOT TOUCHED DOWN TOO FAST, NOSE GEAR FIRST, PORPOISED. DAMAGED PROP AND NOSE GEAR
1978-01-19,NY,LOCKPORT,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Loss of Directional Control - Ground Loop,null,null,null,null,5000,null,2,CESSNA,310,null,AD AFTER FAST APPROACH TO LANDING WITH BOUNCE AIRCRAFT DRIFTED OFF RUNWAY AND STRUCK SNOWBANK.
1979-06-02,PA,DILLSBURG,Hurricane,Dusk,4,null,Pilot/Miscellaneous Unsafe Actions,Forced Landing,50,null,null,null,null,null,1,PIPER,PA20,null,PILOT LANDED ON INTERSTATE. REASON FOR LANDING NOT KNOWN.
1979-06-02,MS,BASSFIELD,Light Snow,Dusk,null,null,Failed to Avoid Objects or Obstructions,Gear Collapse,33,null,null,null,353,null,1,AIRPTS,A9,null,RIGHT MAIN STRUCK A MOUND AFTER LANDING IN A FARM FIELD. GEAR COLLAPSED.
1979-06-02,FL,ST AUGUSTINE,Hurricane,Unknown,7,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,37,null,null,null,null,null,1,CESSNA,150,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN IN A MODERATE CROSSWIND.
1979-06-02,OH,MIAMISBURG,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,31,16,null,null,16,null,1,CESSNA,172,null,TIRE BLOWN OUT WHEN STUDENT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
1979-06-02,KS,BELOIT,null,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,30,150,null,null,1600,null,2,PIPER,PA23,null,STUDENT FORGOT TO EXTEND LANDING GEAR. INSTRUCTOR FAILED TO CHECK.
1979-06-03,MI,GRAND RAPIDS,Hurricane,Day,null,null,Improper Level Off,Hard Landing,54,80,null,null,2000,null,1,AMTRRU,VARIEZE,null,NOSE CAME DOWN HARD AFTER LANDING, THEN THE GEAR RETRACTED. THE JAR CAUSED THE GEAR HANDLE TO COME OUT OF DETENT.
1979-02-03,MI,MASON,Light Snow,Night,1,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,29,300,20,55,3510,null,1,PIPER,PA28151,1641,ACFT RAN OFF RWY AND HIT A SNOW BANK ON NIGHT LANDING. SNOW PILED ALONG RWY OBSCURED RWY LIGHTS.
1979-06-05,AK,KAKHONAK,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Gear Collapse,45,59,null,null,193,null,1,MAULE,M5235C,null,RIGHT MAIN COLLAPSED AFTER HARD LANDING
1979-06-05,GA,DONALSONVILLE,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,26,15,null,null,80,null,1,BBAVIA,7,null,PILOT HAD DIRECTIONAL CONTROL PROBLEMS AFTER TOUCHDOWN, GOT ON THE BRAKES AND NOSED OVER.
1979-06-05,WY,BAGGS,Tornado,Day,Greater than 10 miles,null,Selected Unsuitable Terrain,Controllable Collision With Ground,29,150,null,null,1500,null,1,BBAVIA,8,null,PILOT LANDED ON A DIRT ROAD. TURNED TO AVOID A CATTLE GUARD. AIRCRAFT DAMAGED IN THE SAGEBRUSH.
1979-06-05,WY,WAMSUTTER,Hurricane,Day,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,45,null,null,null,150,null,1,MCBEMS,LARK95,null,ENGINE STOPPED DUE TO FUEL EXHAUSTION
1979-06-03,WY,CASPER,Hurricane,Day,Greater than 10 miles,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,31,150,null,null,1200,null,1,CESSNA,150,null,PILOT RAN OUT OF FUEL 3 MILES SHORT OF THE AIRPORT.
1979-06-03,PA,NEW CASTLE,Hurricane,Day,10,null,Forgot to Extend Landing Gear,Wheels - Up Landing,56,460,null,null,760,null,1,BEECH,35,null,PILOT FAILED TO EXTEND THE GEAR BEFORE TOUCHDOWN. WARNING HORN SWITCH PNJV5 AND INDICATOR BULB WERE LOOSE.
1979-06-03,LA,NEW ORLEANS,Hurricane,Day,7,null,null,Forced Landing,49,3500,null,null,17000,null,1,CESSNA,U206F,null,FLOAT PLANE LANDED IN THE GULF AFTER THE ENGINE FAILED INTERNALLY.
1979-06-03,FL,GAINESVILLE,Hurricane,Day,null,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,null,null,null,null,null,null,2,CESSNA,337,null,PILOT LANDED ON THE AIRPORT, OUT OF FUEL.
1979-06-03,OH,NEW CARLISLE,null,Day,Greater than 10 miles,null,Landing Far Down / Land Area Overshot,Overshoot Landing,28,10,null,null,71,null,1,PIPER,PA28181,null,PILOT LANDED LONG AND FAST, OVERSHOT.
1979-06-03,ID,BOISE,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Wake Turbulence - Vortex,29,35,null,null,900,null,1,PIPER,PA20,null,PILOT LOST DIRECTIONAL CONTROL AFTER LANDING BEHIND LARGE JET. POSSIBLE VORTEX TURBULANCE.
1979-06-03,CA,SANTA ANA,Hurricane,Day,null,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,48,1200,null,null,1500,null,null,BEECH,P35BEECH,null,PILOT RETRACTED THE GEAR DURING THE LANDING ROLL.
1979-06-03,IL,MT CARROLL,Hurricane,Day,null,null,Inadequate Inspection of Aircraft - Preflight,Forced Landing,39,50,null,null,250,null,1,AMTRBX,BENSENB8M,null,ENGINE WENT TO IDLE WHEN THROTTLE CABLE HOUSING SLIPPED OUT OF CLAMP. HAD NOT BEEN PROPERLY SECURED.
1979-06-04,NJ,TETERBORO,Weather Non-Factor,Day,null,null,null,Engine Malfunction,39,50,null,null,5250,null,2,AMD,FALCONC,null,NOSE WHEEL LOCK PINS SAFETY QUICK RELEASE PN3201 0518 WAS MISSING PROBABLY CAME OFF, INGESTED BY ENGINE.
1979-06-04,CA,MECCA,Hurricane,Night,5,null,Poor Preflight Planning - Weather Conditions,Forced Landing,25,14,null,null,140,null,1,PIPER,PA28140,null,PILOT COULD NOT LAND AT DESTINATION DUE TO LOW OVERCAST, CONTINUED ON AND RAN OUT OF FUEL. LANDED IN SALTON SEA
1979-05-31,CA,SANTA ANA,Hurricane,Night,6,null,Improper Level Off,Hard Landing,39,1,null,null,4000,null,1,BBAVIA,11,null,HARD LANDING CAUSED GEAR TO COLLAPSE.
1979-05-31,WA,LA CROSSE,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Collision With Other,51,25,null,null,3000,null,1,CESSNA,177,null,TALL GRASS ALONG RUNWAY DAMAGED TAIL OF LANDING AIRCRAFT.
1979-05-31,NJ,FLANDERS,Hurricane,Day,8,null,Improper Level Off,Hard Landing,34,7,null,null,225,null,1,CESSNA,172,null,HARD LANDING DAMAGED NOSE GEAR AND PROPELLER.
1979-05-31,NJ,ATLANTIC CITY,Hurricane,Day,4,null,Landing Far Down / Land Area Overshot,Overshoot Landing,30,75,null,null,100,null,1,CESSNA,172,null,AIRCRAFT RAN OFF END OF RUNWAY AFTER OVERSHOOTING LANDING.
1979-05-31,MA,BEDFORD,Hurricane,Day,10,null,null,Gear Collapse,33,55,null,null,279,null,1,BEECH,F33A,null,GEAR COLLAPSED ON TOUCHDOWN, FOUND GEAR ACTUATOR FAILED INTERNALLY.
1979-12-18,CA,FRESNO,Wind,Day,1,null,null,Gear Collapse,null,6556,60,62,6556,null,2,BEECH,B60,1582,NOSE GEAR MALFUNCTION ON TAKEOFF. NOSE GEAR COLLAPSED ON LANDING. RETRACT MECHANISM FAILED.
1979-05-31,NY,SYRACUSE,Light Snow,Day,null,null,null,System Malfunction or Failure,36,1000,null,null,3000,null,1,HILLER,UH12D,null,LANDED DUE TO TRIM PROBLEMS, REPLACED TRIM SWITCH PN 332603.
1979-06-01,CA,CALEXICO,Light Snow,Day,Greater than 10 miles,null,null,Gear Collapse,59,400,null,null,2000,null,2,CESSNA,421,null,LEFT MAIN COLLAPSED DURING ROLLOUT. CAUSE NOT REPORTED.
1979-03-07,TX,KERRVILLE,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,55,206,206,218,2400,null,1,PIPER,PA28151,839,FLIGHT INSTRUCTOR ALLOWED STUDENT PILOT TO VEER OFF RUNWAY DURING LANDING IN GUSTY WIND.
1979-06-01,CO,GRAND JUNCTION,Hurricane,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,44,16,null,null,350,null,1,RKWELL,112,null,PILOT FORGOT TO EXTEND THE LANDING GEAR. WARNING HORN WAS INOPERATIVE.
1979-06-01,AK,KENAI,Hurricane,Day,null,null,null,Gear Collapse,null,null,null,null,null,null,1,CONAER,LA4,null,AMPHIB. LANDING GEAR COLLAPSED DURING TAXI, ONLY SLIGHT DAMAGE. WORKED PROPERLY AFTER CLEANING DOWNLOCK.
1979-05-06,CT,VOLUNTOWN,Hurricane,Day,Greater than 10 miles,null,Landing Far Down / Land Area Overshot,Overshoot Landing,49,20,null,null,340,null,1,CESSNA,172,null,AFTER 3 APPROACHES AIRCRAFT TOUCHED DOWN LONG AND RAN INTO EMBANKMENT ON DEPARTURE END.
1979-05-06,UT,PRICE,Hurricane,Day,null,null,Poor Preflight Planning - Aircraft Performance,Gear Collapse,51,300,null,null,1100,null,2,PIPER,PA34200,null,NOSE GEAR COLLAPSED AFTER LANDING IN A STRONG AND VARIABLE CROSSWIND.
1979-05-07,MA,LINCOLN,Hurricane,Day,null,null,null,Forced Landing,58,310,null,null,7000,null,null,AMTREA,EAABIPLANE/,null,ENGINE QUIT AFTER DROP IN OIL PRESSURE. CYLINDER WAS CRACKED IN AREA OF INTAKE VALVE.
1979-05-07,MS,GREENWOOD,null,Day,null,null,Collided With Object on Final Approach,Collision With Wires-Poles,29,300,null,null,2400,null,1,CESSNA,172,null,WHILE SIMULATING AN ENGINE OUT LANDING AIRCRAFT STRUCK TELEPHONE WIRE.
1979-05-07,IL,WAUKEGAN,Hurricane,Day,null,null,Operational Gear Control Failed,Gear Collapse,66,600,null,null,900,null,1,MOONEY,M20F,null,LANDING GEAR COLLAPSED AT TOUCHDOWN. MANUAL GEAR HANDLE NOT IN LOCKED POSITION. DID NOT HAVE SAFE LIGHT.
1979-02-14,OH,BLUFFTON,null,Day,4,null,Aircraft Improperly Aligned With Runway,Loss of Directional Control - Drag Wingtip,23,100,null,null,430,null,null,PIPER,PA28/,null,UNFORECAST HEAVY ICING AND WINDSHIELD BECAME COVERED WITH ICE. NO FORWARD VISIBILITY. WINGTIP STRUCK SNOWBANK.
1979-04-21,OH,PAINESVILLE,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Aircraft - Both Airborne,Midair Collisions (Both in Flight),50,158,null,null,246,null,1,PIPER,PA28140,null,PILOT DESCENDED ONTO ANOTHER AIRCRAFT ON FINAL. AIRCRAFT TOUCHED ONLY LIGHTLY, LANDED SAFELY.
1979-05-07,IL,JACKSONVILLE,null,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,32,38,null,null,38,null,1,LUSCOM,8,null,STUDENT MADE HARD LANDING AND GEAR FOLDED.
1979-06-08,VA,WINCHESTER,Fog,Day,null,null,null,Fire or Explosion - In Flight,39,null,null,null,null,null,null,AMTRSO,STARDUSTER/,null,EXPLOSION AND FIRE. SECTION OF FILLET FAIRING SEPARATED, WIRING BURNED, PORTION OF DACRON FABRIC MELTED. LANDED
1979-06-08,CA,MONTEREY,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,30,25,null,null,180,null,1,BEECH,B24R,null,PILOT FAILED TO EXTEND THE LANDING GEAR BEFORE TOUCHDOWN
1979-07-26,KS,HALSTEAD,Hurricane,Day,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,22,300,null,null,400,null,1,PIPER,PA24250,null,PILOT FORGOT TO EXTEND LANDING GEAR BEFORE LANDING.
1979-07-31,WV,FAYETTEVILLE,Hurricane,Dusk,7,null,null,Stall,41,11,10,10,47,null,1,UNIVAR,F1,1771,ON GO-AROUND PLT SAW SPARKS & SMOKE UNDER PANEL. STALLED ACFT IN TIGHT TURN TO LAND. FOUND BARE WIRE.
1979-06-23,OR,BROOKINGS,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,53,50,null,null,150,null,1,CESSNA,210,null,PILOT CONTACTED THE GROUND HARD ON THE NOSE WHEEL, BOUNCED, WENT AROUND. HAD BLOWN NOSE TIRE AND DAMAGED PROP BADLY
1978-12-24,WI,WAUSAU,Hurricane,Night,Greater than 10 miles,null,Unsuitable Terrain Snow/Ice Area,Collision With Airport Hazard,31,12,null,null,115,null,null,PIPER,PA32/,null,PILOT LOST DIRECTIONAL CONTROL ON LANDING ROLL WHEN LEFT MAIN GEAR STRUCK SNOW ON RUNWAY.
1979-05-23,ID,ST MARIES,Light Snow,Day,Greater than 10 miles,null,Insufficient Terrain Clearance in Route,Collision With Trees,59,113,20,20,2994,null,1,CESSNA,172,2316,PILOT MADE DESCENT INTO BOX CANYON. ATTEMPTED TO TURN AND CLIMB OUT. FORGOT TO TURN OFF CARBURETOR HEAT. HIT TREES.
1978-11-18,NM,LOS LUNAS,null,Day,Greater than 10 miles,null,Failed to Avoid Aircraft - None or One Airborne,Aircraft Collisions - On Ground,35,155,null,null,5510,null,null,PIPER,J3C/,null,AFTER LANDING AND WHILE TAXIING, AIRCRAFT STRUCK 28DH WHICH WAS STOPPED ON TAXIWAY WITH ENGINE RUNNING.
1978-01-28,MS,MERIDIAN,Fog,Day,Greater than 10 miles,null,null,Gear Collapse,32,421,null,null,3869,null,null,HWKSLY,DH104/,null,NOSE GEAR COLLAPSED ON ROLLOUT.
1979-07-18,OH,MIAMITOWN,Hurricane,Day,Greater than 10 miles,null,null,Controllable Collision With Ground,57,2,2,2,1021,null,1,AMTRWW,BANTAM,162,ENGINE STOPPED DURING APPROACH TO AIRPORT. CRASHED SHORT OF THE RUNWAY. CARB HEAT BAFFLE INSTALLED INCORRECTLY.
1979-06-15,TX,HOUSTON,Light Snow,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,51,20,null,null,448,null,1,RKWELL,112,null,PILOT REPORTED USING THE CHECKLIST, MUST HAVE OVERLOOKED INSTRUCTION TO LOWER THE GEAR.
1978-04-15,MS,STARKVILLE,Light Snow,Night,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,33,3000,null,null,6100,null,2,PIPER,PA23250,null,AIRCRAFT STRUCK DOG ON LANDING, NOSE GEAR COLLAPSED.
1979-02-16,NM,ALBUQUERQUE,Hurricane,Day,Less than 1 mile,null,Poor Preflight Planning - Aircraft Performance,Uncontrollable Collision With Ground,40,278,10,10,5511,null,1,GULSTM,AA5,1110,AIRCRAFT WOULD NOT CLIMB AFTER TAKEOFF FROM AIRPORT AFTER HOLDING DELAY IN SNOW CONDITIONS.
1979-12-08,TX,FT HOOD,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,24,8,7,110,1882,null,1,CESSNA,305,5603,MADE WHEEL LANDING WITH TAIL WHEEL AIRPLANE. LOST CONTROL. GROUND LOOPED. CFI FAILED TO DEMONSTRATE MANEUVER.
1978-12-28,TX,BRYAN,Hurricane,Day,Greater than 10 miles,null,null,Gear Collapse,28,24,null,null,4750,null,1,FRCHLD,24,null,PILOT NOTICED THAT AN OLEO STRUT HAD BROKEN. GEAR COLLAPSED ON LANDING.
1979-05-01,IL,WHEELING,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,58,240,null,null,344,null,1,CESSNA,172,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
1979-05-08,OR,MCMINNVILLE,Hurricane,Day,10,null,null,Stall,48,30,25,27,400,null,1,AMTR,AMFS14F,170,PILOT REPORTED ENGINE QUIT. AIRCRAFT STALLED, HIT TREES & HOUSE DURING EMERGENCY LANDING. POSSIBLE CARBURETOR ICE.
1978-10-12,KS,TOPEKA,null,Dusk,null,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,37,8,null,null,1600,null,1,BEECH,36,null,PRIVATE PILOT ON AN AIRCRAFT CHECKOUT RAISED THE GEAR SWITCH WHEN THE INSTRUCTOR ASKED HIM TO RETRACT THE FLAPS.
1978-11-02,LA,BATON ROUGE,Hurricane,Day,null,null,null,Forced Landing,43,30,null,null,436,null,1,CESSNA,185,null,EMERGENCY LANDING AFTER ENGINE GOT ROUGH. FOUND TURBOCHARGER SHAFT SEAL FAILED.
1979-01-25,IN,INDIANAPOLIS,Light Snow,Night,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Other,52,15,null,null,500,null,2,CESSNA,402,null,PILOT STRUCK THE RUDDER OF PARKED AIRPLANE N3007H DURING TAXI.
1979-11-30,NC,ASHEBORO,Hurricane,Day,Greater than 10 miles,null,Pilot/Miscellaneous Unsafe Actions,Hard Landing,39,21,21,21,29,null,1,PIPER,PA18150,281,STUDENT PILOT MADE UNSCHEDULED HARD LANDING IN COW PASTURE. FOLDED LANDING GEAR. DAMAGED WING TIPS.
1979-01-13,UT,PARK VALLEY,Hurricane,Day,null,null,Unsuitable Terrain Snow/Ice Area,Loss of Directional Control - Ground Loop,44,1600,null,null,3000,null,1,PIPER,PA18,null,PILOT GROUND LOOPED AIRCRAFT WHILE ATTEMPTING A TAKEOFF FROM A SNOW COVERED SHORT DIRT ROAD.
1979-11-07,MI,IRONWOOD,Fog,Day,Less than 1 mile,null,Downwind Takeoff or Landing,Nose Up or Over,20,241,17,17,241,null,1,CESSNA,150,3671,PILOT ATTEMPTED TO LAND AT AN AIRPORT THAT WAS BELOW VFR WEATHER MINIMUMS. LANDED ON TAXIWAY. RAN OFF END.
1979-01-18,AZ,WICKENBURG,Light Snow,Dawn,Less than 1 mile,3,Continued VFR Flight Into Adverse Weather Conditions,Uncontrollable Collision With Ground,41,200,null,null,200,null,1,CESSNA,175,2136,PILOT LOST CONTROL OF AIRPLANE DESCENDING INTO LAYER OF GROUND FOG.
1979-04-23,FL,ST AUGUSTINE,Light Snow,Day,null,null,Inadequate/Improper Preflight Planning/Preparation,Other/Miscellaneous,null,null,null,null,29000,null,2,BEECH,B95,null,PILOT FLEW THROUGH RESTRICTED AREA WITHOUT PRIOR PERMISSION. AREA WAS ACTIVE WITH ARTILLARY FIRE.
1979-04-28,TX,DALLAS,Hurricane,Day,null,null,null,Gear Collapse,49,400,null,null,11000,null,1,CESSNA,180,null,LEFT MAIN COLLAPSED DURING TURN OFF THE RUNWAY.
1979-04-28,MS,TOOMSUBA,Light Snow,Day,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,54,85,null,null,536,null,1,BEECH,C35BEECH,null,ENGINE QUIT DUE TO FUEL STARVATION RESULTING IN FORCED LANDING ON HIGHWAY.
1979-04-28,MS,MACON,Hurricane,Dawn,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,25,20,null,null,520,null,1,CESSNA,172,null,WHILE ATTEMPTING PRECAUTIONARY LANDING FOR LOW FUEL, ENGINE QUIT. LANDED SHORT OF RUNWAY.
1978-02-06,IL,CHAMPAIGN,Wind,Dusk,null,null,null,Loss of Directional Control - Ground Loop,31,4,null,null,2000,null,1,GULSTM,AA5,null,LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN DUE TO ICE AND SNOW IN THE WHEEL FAIRING. WHEEL WOULD NOT ROTATE.
1979-04-21,OH,PAINESVILLE,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Aircraft - Both Airborne,Midair Collisions (Both in Flight),35,86,null,null,91,null,1,CESSNA,150,null,PLANE WAS STRUCK FROM ABOVE BY N9365K DURING FINAL APPROACH. BOTH LANDED SAFELY.
1979-04-21,TX,WOLFFORTH,Hurricane,Night,Greater than 10 miles,null,Collided With Object on Final Approach,Collision With Wires-Poles,55,440,null,null,3000,null,1,PIPER,PA28R201T,null,PILOT MAKING NIGHT LANDING AT UNLIGHTED STRIP HIT WIRES ON FINAL. DIVERTED SAFELY TO LIGHTED AIRPORT.
1979-04-21,CA,ROSAMOND,Hurricane,Day,Greater than 10 miles,null,Attempt Operation With Different Equipment,Forced Landing,66,600,null,null,610,null,1,LUSCOM,8,null,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY. MUSHED BACK TO THE GROUND BEYOND THE RUNWAY.
1979-04-21,CA,SIMI VALLEY,Hurricane,Day,null,null,Landing Far Down / Land Area Overshot,Overshoot Landing,48,195,null,null,205,null,1,CESSNA,150,null,PILOT OVERRAN RUNWAY END AFTER BRAKE FAILURE. OUT OF FLUID DUE TO LEAKING.
1979-04-21,AZ,NOGALES,Hurricane,Day,Greater than 10 miles,null,Full to Low Fuel,Forced Landing,49,6,null,null,18000,null,null,MORISY,2150,null,PILOT LANDED SHORT OF THE RUNWAY AT HIS DESTINATION AIRPORT, OUT OF FUEL. FAILED A MAIN STRUT IN A CHUCK HOLE.
1979-10-06,FL,VERO BEACH,Wind,Day,7,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,null,32,null,275,2088,null,1,CESSNA,185,35,AIRPLANE GROUND-LOOPED DURING LANDING ROLL.
1979-04-21,NJ,FLEMINGTON,Hurricane,Day,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Fences and Posts,45,155,null,null,1692,null,null,SPHRTH,CIRRUSSTD,null,PILOT RAN OUT OF LIFT DURING GLIDER FLIGHT. HIT A FENCE POST AFTER LANDING IN A FOOTBALL FIELD.
1979-04-22,MN,MINNEAPOLIS,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,56,14,null,null,225,null,1,PIPER,PA18150,null,PILOT APPLIED EXCESSIVE BRAKES DURING TURN OFF THE RUNWAY.
1979-04-22,NY,WEST POINT,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,36,38,null,null,1329,null,1,CESSNA,T41B,null,STUDENT LOST CONTROL AFTER TOUCHDOWN AND BAD BOUNCE. INSTRUCTOR ON BOARD.
1979-10-08,VT,ROXBURY,Hurricane,Day,Greater than 10 miles,null,Landed Short,Collision With Trees,54,5,5,10,4186,null,null,OBERNR,MG23SL,304,GLIDER RAN OUT OF LIFT. TRIED TO LAND IN OPEN FIELD. CAME UP SHORT. LANDED ON ROAD EDGE. HIT TREE.
1979-04-22,CA,FRESNO,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,30,null,null,null,null,null,1,CESSNA,152,null,PORPOISED AFTER TOUCHDOWN DUE TO EXCESSIVE SPEED.
1979-02-14,IL,WEST CHICAGO,Hurricane,Day,Less than 1 mile,null,Improper Level Off,Hard Landing,31,100,null,null,3500,null,1,PIPER,PA32R300,null,HARD LANDING AFTER ENCOUNTERING HEAVY FORECAST ICING IN CLOUDS.
1978-05-30,CA,LAKE ELSINORE,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,53,48,null,null,336,null,1,CESSNA,172,null,AIRCRAFT BOUNCED, PILOT APPLIED FORWARD PRESSURE AND HIT HARD ON NOSE WHEEL.
1979-07-07,AK,SOLDOTNA,null,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,36,50,null,null,550,null,1,CESSNA,185,1000,LOST DIRECTIONAL CONTROL OF ACFT ON CROSSWIND LANDING ROLLOUT.
1979-04-22,CA,CALIFORNIA CITY,Hurricane,Night,Greater than 10 miles,null,Poor Preflight Plan - Fuel Quantity,Forced Landing,43,300,null,null,10000,null,2,CESSNA,337,null,PILOT RAN OUT OF FUEL AT NIGHT. LANDED ON UNLIGHTED AIRPORT WITH CONSIDERABLE DAMAGE.
1979-04-25,CA,ANNAPOLIS,Hurricane,Day,null,null,Landing Far Down / Land Area Overshot,Overshoot Landing,42,5,null,null,550,null,1,PIPER,PA22150,null,PILOT RAN OFF THE END OF 2600 FOOT RUNWAY.
1979-09-16,KS,WICHITA,Hurricane,Night,Greater than 10 miles,null,Failed to Avoid Objects or Obstructions,Collision With Other,52,46,14,8,144,null,1,CESSNA,172,306,PILOT ALLOWED AIRCRAFT TO ROLL FORWARD, STRIKING THE TIE DOWN CHAIN OF ANOTHER AIRCRAFT.
1978-07-02,CA,ONTARIO,Hurricane,Day,null,null,null,Hard Landing,37,36,null,null,176,null,1,CESSNA,182,null,ELEVATOR WOULD NOT RESPOND TO CONTROL COLUMN. CABLE ATTACHING SCREW AT COLUMN WAS MISSING.
1979-04-25,MI,TROY,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Collision With Airport Hazard,24,30,null,null,370,null,1,PIPER,PA28181,null,PROPELLER DAMAGED DURING TAXI AS THE AIRPLANE TAXIED OVER A SMALL WATER COVERED DITCH.
1979-04-25,OR,FLORENCE,Hurricane,Dawn,null,null,null,Forced Landing,46,100,null,null,300,null,1,AMTRRA,KR2,null,ENGINE FAILED DUE TO BROKEN WRIST PIN. VOLKSWAGON 1834CC ENGINE.
1979-10-10,AK,GEORGETOWN,Hurricane,null,null,1,Lost Ground Reference at Night - VFR,Collision With Trees,21,null,null,null,null,null,1,PIPER,J3,null,STUDENT PILOT WITH PASSENGER HIT TREES AT NIGHT. CRASHED AND BURNED.
1978-11-12,CA,CONCORD,Hurricane,Day,null,null,Inadvertant Retrieval of Landing Gear,Gear Retrieval,41,17,null,null,400,null,2,BEECH,95,null,PILOT INADVERTENTLY RETRACTED GEAR ON ROLLOUT.
1978-03-11,AL,SYLACAUGA,Light Snow,Day,Greater than 10 miles,null,null,Engine Malfunction,33,404,null,null,2413,null,2,BEECH,C90,null,ENGINE FAILED AND CAUGHT FIRE DURING CLIMB TO CRUISE. FIRE WENT OUT DURING DESCENT.
1979-04-07,IN,HELTONVILLE,null,Day,10,null,null,Forced Landing,23,50,null,null,50,null,1,CESSNA,150,null,ENGINE RAN ROUGH, THEN STOPPED WITH A BANG. HOLE IN THE CRANKCASE.
1979-04-22,IL,AURORA,Hurricane,Night,8,null,Collided With Object on Final Approach,Collision With Wires-Poles,57,4,null,null,3000,null,2,PIPER,PA34200T,null,PILOT GOT TOO LOW ON FINAL AT NIGHT. HIT POWER LINES BUT LANDED SAFELY ON THE RUNWAY,NO VASI.
1979-04-22,WA,SKYKOMISH,Hurricane,Day,null,null,Failed to Avoid Objects or Obstructions,Nose Up or Over,24,40,null,null,200,null,1,CESSNA,A185F,null,FLOAT PLANE PILOT STRUCK SOME ROCKS DURING TAKEOFF, FLIPPED OVER.
1978-11-12,MI,HOWELL,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Collision With Other,null,null,null,null,null,null,1,PIPER,PA28140,null,STUDENT PILOT RAN OFF SIDE OF RUNWAY THEN STRUCK A SMALL DITCH WHILE TAXIING.
1979-04-22,NC,OCEAN ISLE,Hurricane,Day,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,45,300,null,null,7800,null,2,CESSNA,310,null,PILOT FAILED TO EXTEND THE LANDING GEAR BEFORE TOUCHDOWN.
