c5,remark
19740823027479A,
19740823028619A,ATMTNG TO DROP NOTE TO PERS ON GRD.HIT CABLE.
19740823029399A,LEFT WING STRUCK 8FT TALL SUGAR CANE ADJACENT TO BEAN FLD.
19740823029409A,"PLT CTCTD ABE TWR AND RPTD BAD FLT COND AND RQSTD ASSIST.WHILE BEING RADAR VECTORED,CTLR LOST CTC."
19740823030289A,
19740823031739A,"ATMTNG TO AVOID WIRES,GR HIT CROP."
19740823032079A,"SCOURING ON ALL 4 PISTONS.OIL RINGS STUCK IN NR 1,3 AND 4 CYL.POOR LUBE DUE CARBON SLUDGE."
19740823032089A,ACFT OBSVD CLB APRX 45 DEG ANGLE.BOTH PLTS HAD STUDENT CERTIFICATES.PLT AT CONTROLS UNKNOWN.
19740823035599A,FUEL SELECTOR PSND TO OFF.
19740824025489A,PILOT FAILED TO RAISE WING FLAPS PRIOR TO GO AROUND INTO RISING TERRAIN.
19740824026589A,STRUCK DITCH OUTSIDE THE FLD BOUNDARIES.
19740824026599A,DIDNT REFUEL BFOR FLT.
19740824027089A,
19740824027099A,R WHEEL CAME OFF AXLE ASSY. NO LOAD ABD.
19740824027109A,"ROUGH STRIP,GRASS 1 FT TALL. HIT GATE POST."
19740824028629A,"BOTH TAIL WHEEL SPRINGS FOUND DISCONNECTED. PLT LOST CTL,HIT PARKED ACFT,CESSNA 172 N5383R.SUB DMG"
19740824028639A,SINGLE WHEEL.WINDS GUSTING TO 40K BEGAN AFTER DEP ON LOCAL FLT.PLT RET TO ARPT.
19740824028649A,HEAVY LOAD ABD.
19740824028659A,STALLED DOWNWIND IN PROCEDURE TURN.PLT HAD PERFORMED 7 TO 8 HRS OF SPRAY OPNS DRG DAY.
19740824028669A,TIRES BLEW UPON LANDING IN ROCKY AREA
19740824028679A,"BECAME LOST,LND ON SHORT STRIP. TOOK OFF INTO RISING TERRAIN,NEAR GROSS WT,DENS ALT ABT 9300FT."
19740824028689A,BUZZING PARENTS HOME. DR STATED OCCUPANTS HAD BEEN DRINKING.
19740824030889A,"WX BRIEF:NUMEROUS TSTMS ENRT.DEPARTED IFR,CNLD FLT PLAN AT 9000FT.HIT MTN SLOPE AT 4698FT ELEV."
19740824030899A,TYPE FLT PLN CAP.STALL LNDG INTO ABT 5FT OF WATER.ACFT CHANGED DIRECTION 180 DEG AFTR T/D.
19740824032329A,FORCED LDG IN MARSH.THROTTLE LINKAGE DISCONNECTED.MISSING CLEVIS BOLT FASTENER.
19740824032819A,"COW RAN ON RWY,FULL FLAP GO-AROUND-STALLED OVER PWR LINES."
19740824034771A,STRAIGHT-IN APCH.NEITHER PLT SAW OTR TRAFFIC.UNCONTROLLED ARPT.N8647S HIT WAREHOUSE ROOF.
19740824034772A,MADE RT HAND TRAFFIC PATTERN TO FINAL APCH.OTR ACFT ON STRAIGHT-IN FINAL.
19740824038099A,AFTR RESETTING CIRCUIT BREAKER LDG GR OPERATED NMLY.
19740824040379A,
19740824044229A,WOODEN M/R BLADES NOT AUTH FOR BELL 47G2A.M/R HIT TAIL BOOM & SEPRTD IN TURN OVR OCEAN.SITE SEEING
19740825026609A,VBL GUSTING TO 14K.
19740825026619A,NOSE GR RAN INTO SOFT AREA ON PLTS OWN STRIP.
19740825027119A,"AFT CABANE STRUT FRACTURE AT WELD,LAB ANALYIS DISCLOSED INCOMPLETE FUSION OF WELD."
19740825027539A,FAILED TO USE EMERG GR EXTENSION SYS.UN TO MNTN AIRSPEED FOR GO-ARND.OIL LINE BROKE.
19740825027549A,ENTIRE L PROP & HUB SEPARATED. NOT RECOVERED. PLT LND OK.
19740825027829A,"MUD LIKE SUBSTANCE FOUND IN VENT LINES.ACFT WAS DMGD BY FLOOD-06/24/74-IN TOWANDA,PA."
19740825027999A,"ALLOWED ACFT TO GET TOO LOW,APLD PWR,ENG DID NOT RESPOND."
19740825028699A,UN OUTCLIMB RISING TERRAIN. DENSITY ALT 10000 FT.
19740825028709A,NARROW BRUSH LINED STRIP.
19740825028711A,"EXPERIMENTAL HOMEBUILT GLIDER.REVERSED COURSE IN THERMAL,SAW OTR ACFT TOO LATE TO AVOID COLLISION."
19740825028712A,THERMALING BEHIND OTR GLIDER.OUTBD 10FT OF L WING AND AILERON SEPRTD.
19740825028729A,STUDENT PLT IN LEFT SEAT.WIND GUSTING 20K.
19740825029419A,TWT BLOCKED BY ANOTHER ACFT.TAXIED ON GRASS ADJ TO TWY.DITCH HIDDEN.
19740825029429A,DENSITY ALT ABOUT 8500 FT.
19740825029599A,
19740825030909A,
19740825030919A,"RECOVERY DATE 082674.PIPEP TO FSS INDCTD LTNG,TSTM ACTIVITY AHD.HVY RAIN IN ACCIDENT AREA."
19740825034789A,FLOAT EQPD.STALLED DRG DOWNWIND TURN AVOIDING TREES ON SHORELINE.WIND GUSTING 28K.
19740826026629A,FLEW INTO CROP ON SWATH ENTRY.
19740826027489A,PLT ATTMPTD PRCTNRY LNDG IN FLD AFTR DRK.PLT RCVD WEA BRFNGS ENRTE
19740826028009A,
19740826028999A,
19740826029009A,"DNWND,T/D ABT MIDWAY ON 2000FT STRIP."
19740826031309A,LOST CTL EFFECTIVENESS DRG TURN.
19740826035609A,COMPANY FLT PLAN.ACFT OBSVD BEING PUSHED ABOUT BY THE WIND.WIND GUSTING 30K.
19740827028399A,LND ON HILL SIDE.
19740827028739A,"OUTBD SECT BOTH HORIZ STAB ASSY,BOTH WING ASSY SEPARATED."
19740827028749A,
19740827030299A,UPSLOPE RW4.DENSITY ALT 6800FT.
19740827032099A,
19740827032109A,
19740827036709A,ERRATIC FEEDBACK IN CYCLIC PITCH CTL SYS FOR UNDET REASON.
19740827039609A,STRUCK GND AT ABT 60 DEG ANGLE FM AN ALT OF APRX 75 FT
19740827044469A,
19740828027559A,PILOT ATTEMPTED EMERGENCY LANDING ON INTERSTATE HWY AND HIT CAR.NR 2 CYLINDER FAILED.
19740828028409A,STRUCK TREE APRX 2000FT S OF CRASH SITE.
19740828028419A,
19740828028429A,
19740828028759A,
19740828029609A,MAINT PERS FAILED TO SAFTY WIRE LOCK NUT ON CYCLIC FORE-AFT ACTUATOR.ACFT UNCONTROLLABLE ON TKOF.
19740828029619A,WG HIT GRND.GUSTING TO 20K.
19740828029629A,"OBS PWR LINES,DIDNT SEE TREE. DMGD GR ON IMPACT,COLLAPSED DRG LDG IN FLD."
19740828029639A,"PLT APPLIED HARD BRAKING,ACFT NOSED OVER."
19740828030309A,SETTLED INTO ORCHARD.
19740828030929A,PILOT FAILED TO HAVE SUFFICIENT ALTITUDE TO GLIDE TO LAND.NO FLOTATION GEAR ABOARD.PLT DROWNED.
19740828031319A,TAXIED FROM SHELTERED AREA TO OPEN AREA.GUSTING TO 55K.
19740828032829A,"HIT N494T,SUBSTL DMG."
19740828034799A,LNDD IN SOFT SAND FIELD.
19740828038869A,PLT CERTIFICATE AND LOG NOT ENDORSED FOR SOLO CROSS COUNTRY FLT.
19740829027499A,FIRST SWATH RUN THIS FLD.
19740829027569A,FLEW OVER WIRES THEN DOVE UNDER PWR LINES.
19740829028769A,"WG HIT TREE,CONT TO TROUTDALE & LND OK."
19740829028779A,ARPT CLOSED.TOOK OFF FROM TXWY 1500FT LONG.DENSITY ALT ABT 7300FT.
19740829028789A,APRX 120FT FM T/D ACFT DPTD RWY TO L.HIT DRAINAGE DITCH.
19740829028799A,INTENTIONAL LDG ON OPEN LEVEL ABANDONED FARM.DURING ROLLOUT MISUSED BRAKES IN SOFT AREA.
19740829029649A,
19740829029659A,TSTMS IN ALL QUADRANTS.WING STRUCK HVY BUSH.
19740829029669A,"NOSEWHEEL ENCTRD RUT,ACFT FLIPPED."
19740829030319A,FLAPS DOWN 12DEG.RCVRD 8/30/74.
19740829030939A,RECOVERY DATE 9/2/74. FLEW INTO KNOWN TSTM AREA.
19740829030949A,
19740829031329A,ACFT SETTLED INTO TREES DRG MAX CLIMB
19740829031339A,FLOAT EQUIPPED.RAN ONTO BANK.
19740829036719A,
19740829038329A,FLOAT EQPD.WIND ESTD IN EXCESS OF 20K.
19740829039619A,WIND GUSTING 15K.
19740830027509A,WIND GUSTING 18K.
19740830027579A,"LNDD ON HWY,HIT POST.SUSPECT CONTAMINATION."
19740830028439A,LOW PASS TO CHECK ON CATTLE.TURN DOWNWIND AND STALLED.WIND GUSTING 40K.
19740830028809A,FUEL SELECTOR VALVE BETWEEN OFF AND R TANK.ACFT STRUCK DITCH ON A FARM FLD.
19740830028819A,PLT TXYD BHND LRG ACFT WTH ENGS TURNG UP
19740830029679A,RAN OFF TWY INTO SOFT DIRT.DID NOT SEE LIGHTED BARRICADE WARNING OF DROP OFF.
19740830029689A,RUSHED APCH TO AVOID ADVERSE WX.LNDD LONG ON 2500FT SOD RWY.OVERRAN INTO CORN FLD.
19740830030329A,"ACFT CONTACTED SOFT AREA ON MUD BAR,CROSSED STREAM & HIT STUMP."
19740830030339A,"FLOAT EQUIPPED.HIGH MAG DROP PREVIOUS RUN-UP,A/S IND 50K ON DECK.HEAVY LOAD.WX BRIEF BY OTR ACFT."
19740830030349A,
19740830030959A,PORPOISED LDG. 1ST SOLO.
19740830031749A,GROUND FOG FORMED SHORTLY AFTR FLT DPTD ARPT.PHASE OF FLT UNK.WRECKAGE 1 1/2MI N OF ARPT.
19740830033269A,LNDD ON DIRT RD AFTR RADIO FAILURE HIT HI WEEDS ON SIDE OF ROAD DRG TKOF.
19740830033279A,PLT ATMTD FLY UNDER WIRES.WINDSHIELD HAD SPRAY ON IT.
19740830036699A,PAX ALSO STUDENT PLT.REAR CTL STICK NOT INSTALLED.DENSITY ALT ABT 3300 FT.
19740830037639A,"(-23) THE AIRPLANE WAS DESTROYED WHEN IT COLLIDED WITH BEARTOWN MOUNTAIN, NEAR SALTVILLE, VIRGINIA. NIGHT INSTRUMENT METEOROLOGICAL CONDITIONS PREVAILED FOR THE PERSONAL FLIGHT THAT ORIGINATED AT ATHENS/BEN EPPS AIRPORT (AHN), ATHENS, GEORGIA, DESTINED FOR THE YEAGER AIRPORT (CRW), CHARLESTON, WEST VIRGINIA. NO FLIGHT PLAN WAS FILED FOR THE FLIGHT. THE AIRPLANE WAS REPORTED MISSING ON OR ABOUT SEPTEMBER 2, 1974. IN DECEMBER 1975, HUNTERS DISCOVERED THE AIRPLANE AND ITS OCCUPANTS AND A MEMORIAL SERVICE WAS HELD FOR THE VICTIMS; HOWEVER, THE FEDERAL AVIATION ADMINISTRATION (FAA) AND THE SAFETY BOARD WERE NOT ADVISED OF THE DISCOVERY. ON OCTOBER 10, 2006, A HIKER ADVISED THE SAFETY BOARD OF THE LOCATION OF THE WRECKAGE. THE PILOT HELD A PRIVATE PILOT CERTIFICATE WITH A RATING FOR AIRPLANE SINGLE ENGINE LAND. HIS CERTIFICATE WAS ISSUED 1 WEEK PRIORT TO THE ACCIDENT ON AUGUST 23, 1974. HE DID NOT POSSESS AN INSTRUMENT RATING."
19740831026639A,"ENG MISSING,LNDD ON ROAD.STEERED R TO CLR ROAD FOR TRAFFIC,R WING HIT SIGNPOST."
19740831027589A,"PLT ATTMPTD TKOFF,DRK NITE,NOT ALGND WTH UNLTD RWY."
19740831028069A,REWORKED BEARING SEIZED.LNDD IN CORN FLD.
19740831028449A,"STRUCK FARM EQUIP AT END OF FLD.2200FT REQD TO CLR 50FT OBSTACLE,1200FT STRIP."
19740831028829A,"SPRAYING PEANUTS.2ND ACFT,FLT OF 2 SPRAYING FLD."
19740831029699A,
19740831029709A,SEVERE GROUND FIRE FOLLOWED IMPACT.
19740831029719A,UN MAINTAIN LIFT.LND IN DESERT.
19740831029729A,"BELIEVED THROTTLE STUCK,MADE GO ARND.RAN OUT OF FUEL. NO THROTTLE MALFUNCTION FOUND."
19740831029739A,SMALL STRIP.SWERVED L OFF RWY WHEN WING HIT HIGH WEEDS.HIT IRRIGATION CORRUGATE.
19740831029749A,PRACTICING LO ALT MANEUVERS.LNDD IN WHEAT FLD.
19740831030969A,IFR DEPT NOT IN ACCORD WITH PUBLISHED PROCEDURES.HIT TREES ABT 2000FT MSL APRX 3.5MI NW OF ARPT.
19740831031349A,CRASH LNDD ON TUNDRA.
19740831031759A,MARSHY AREA WITH SCRUB OAK.FLOAT EQUIPPED.
19740831031769A,IDLER YOKE OF BELT TENSIONING SYS FAILD.DRIVE TO TRANSMISSION WAS LOST.BLOOD ALCOHOL LVL 83MG PCT.
19740831032119A,ACFT ABT 168 LB OVR GW.MAX AFT CG INDEX FOR 2200 LBS 102.INDEX THIS GW 106.6.
19740831032129A,DENSITY ALT 9000FT. NOSE HI ATTITUDE TO STALL 350 FT L OF RWY. GUSTING TO 25K.
19740831032839A,ELK SURVEY FLT.PLT LOST CTL DRG LOW ALT STEEP TURN.RECOVERY DATE 9/1/74.
19740831034809A,"TKOF FM STRIP ENTRD SOFT AREA,CONT TKOF STRUCK 12FT HI PALMETTO TREE."
19740831040719A,UNUSUAL ATTITUDE PRACTICE.FULL NOSE DOWN TRIM. MISC-UNABLE TO RETRIM ACFT FOR UNDETERMINED REASON
19740901027519A,"AIRPORT HAD BEEN DELETED AS PUBLIC AIRPORT.ACFT HIT A RUF SPOT IN BKN ASPHALT,BOUNCED,PLT LOST CTL"
19740901027599A,MISUSED SPEED BRAKE.
19740901028459A,TKOF FROM DIRT ROAD.R WING TIP HIT GROUND OBSERVER.PRIOR FORCED LDG.
19740901028839A,ACFT 103LBS OVR MAXIMUM CERTIFICATED GROSS WEIGHT.
19740901028849A,DEMONSTRATING ACROBATICS INCLUDING INTENTIONAL SPINS.FAILED TO COMPLETE RECOVERY PRIOR TO IMPACT.
19740901028859A,THREE SEGMENTS OF CARB AIR FLOW STRAIGHTENER UNATTACHED.
19740901029759A,"SEAPLANE HIT BEACH ON TAKEOFF RUN. ACFT FAILED TO BCM AIRBORNE DURG TAKEOFF RUN,UNDTRMD REASON."
19740901029769A,PARTIAL PWR LOSS.MADE 180DEG TURN BACK TO ARPT.L WING HIT GND 400FT SHORT OF RWY.
19740901030979A,PLT FAILED TO INITIATE FLT PLAN AFTER TKOF.DIDNT REQ ENROUTE WEA & FLEW INTO TSTM.
19740901030989A,
19740901030999A,STRUCK PWR LINES ABT 50FT HI.
19740901031359A,"STUDENT SOLO X-COUNTRY AIRMET WX ADVISORY IN EFFECT,CEILINGS BELOW 1000 FT 3 MI VIS"
19740901032139A,ACFT HIT WOODEN BEAM ON CLOSED PART OF RWY. RWY NOTAMED.
19740901032149A,"HAND PROPPED,ENG STARTED,STRUCK AND SUB DMGD N6003P PARKED ON RAMP."
19740901032849A,IP DIDNT REFUEL BFOR FLT.
19740901033289A,PILOT MADE STEEP TURN AFTER TKOF.DENSITY ALT ABT 8500 FT.
19740901033299A,R CTL WHEEL GUST LOCK NOT REMOVED BFOR TKOF.
19740901034819A,STRUCK HILL 30MI NE OF DEST.BLOOD ALC LVL 0.10PCT.
19740901034829A,NO NARRATIVE AVAILABLE
19740901035619A,
19740901035629A,"EXCDD ACFT GW AND AFT CG.L HALF OF HORIZ STAB,OTBD HALF OF R WING AND BOTH TIP TANKS SPTD."
19740901036729A,POSSIBLE VAPOR LOCK. TRIED TO RET TO FLD.
19740901036739A,"MAKING LOC APCH.DESCENDED BLO MDA,COLLIDED WITH TREES 2.7MILES FM APCH END RWY 16."
19740901039629A,"ATTITUDE GYRO 3 THOUSANDS OF AN INCH SIDE PLAY ALONG ROTOR SHAFT.BEARINGS DRY,NO SIGNS OF LUB."
19740901039639A,R FLOAT HIT LIP OF MTN RIDGE. WIND VBL 10K.
19740901039649A,PLT LOADED ACFT WITH AZODRIN.NO PROTECT EQUIP OR SOAP IN LOADING AREA.RCVRY DATE 9/2/74.
19740901040389A,"VACUM PUMP INOP.ON TOP DSCNDD THRU CLDS,BETTER WX AHEAD.VACUM SYS MOD NOT IN ACCORD ACPTD PRACTICE"
19740902026649A,
19740902026659A,LNDD ON RD.L WING HIT TALL GRASS.
19740902028869A,PILOT ATTMPTD FLT BEHIND PWR CURVE. DENSITY ALT 7300 FT. MIXT CTL FOUND IN FULL RICH POS.HIT WIRES
19740902029779A,CTL LOST WHILE ATMING TO DETERMINE REASON FOR PWR LOSS.
19740902029789A,"ABORTED LDG AFTER DMG TO LDG GR.ON 2ND ATMT,BROKEN GR DUG IN,ACFT NOSED OVER."
19740902029799A,SMALL FARM FLD SURROUNDED BY TREES.
19740902029809A,PWR LOSS ON DOWNWIND LEG.ATTMPTD LNDG ON DIRT ROAD.WING STRUCK DIRT BANK.AUX TANK GAUGE READ 1/4.
19740902031009A,SPRAYING LAST FLD STALLED ACFT IN STEEP TURN.
19740902031019A,"HAND PROPPED FRM BEHIND,THROTTLE FULL OPEN.HIT HANGAR."
19740902031029A,NIGHT LDG ON PVT FARM.NO LITES.
19740902031779A,ENCTRD DNDFT WHICH EXCEEDED ACFT CLB CAPABILITY.
19740902032339A,"UN OBTAIN FUEL DRG ENROUTE STOP.DEP FOR DEST,RAN OUT OF FUEL & LND ON HIWAY GR UP DUE TRAFFIC."
19740902037349A,CRASHED ON GLACIER.
19740902039659A,SOFT AREA ON BEACH.
19740903028469A,PERSONNEL STRUCK BY PROP WHILE HAND PROPPING ENG
19740903028879A,ACFT L MLG STRK PCKUP TRK ON RD OFF END OF RNWY. CONT APCH & LND.
19740903029819A,HIT SPRINKLER PIPE & FENCE.
19740903029829A,FLOAT EQUIPPED.
19740903030359A,
19740903032859A,PLT ATTMPTNG TO MNUEVR THRU MNTN PASS.
19740903034009A,"PLT WITH HISTORY OF HIGH BLOOD PRESSURE,RECENTLY RETURNED TO FLT STATUS."
19740903040729A,HAND STARTING AIRCRAFT WITHOUT ASST.STRUCK TWO PARKED ACFT.N76511 AND N68874 SUBSTANTIAL DMG.
19740903042739A,ACFT OBSVD ENTERING CLOUDS.WHEN NEXT OBSVD ACFT WAS SPINNING OUT OF CLOUDS.
19740903043009A,LND IN FLD TO TALK TO FARMER. HIT DITCH HIDDEN BY STUBBLE GRASS.
19740904027529A,
19740904028479A,
19740904028889A,"PLT ATTMPTD TKOF FRM DRT RD-ENG LST PWR-SWRVD INTO DTCH TO AVOID HITTING TRUCK-SURVEY FLT,NO LOAD."
19740904030369A,HIT SHORT OF LAKE. FLOAT EQUIPPED.
19740904031039A,PLT STATED UN CTL YAW WITH RUDDER.ONLY 5IN SEPARATE PLT & COPLT RUDDER PEDALS.FLT CTLS CKD OK.
19740904031789A,"ENROUTE TO TREAT CROP AT LOW ALT.ENCNTRED PWR TWR,ELECTED TO GO ARND & UNDR WIRES.HIT CABLE."
19740904032159A,LWR LDG GR RETRACT LINK P/N 19044-00 BENT.
19740904035639A,"PILOT HAND PROPPED ENG,SWITCH ON. HIT SIGN."
19740904035809A,
19740904044629A,
19740905027609A,2ND LDG ATTEMPT.
19740905028899A,DITCH ACROSS GRAVEL BAR.
19740905029839A,
19740905030379A,RT LG ACTUATOR MT SUPPORT FAILED FOR UNDTRMND REASON.
19740905030389A,AIRCRAFT IMPACTED INTO WATER FOR UNDETERMINED REASONS. ONLY DEBRIS FOUND.
19740905031049A,STUDENT PLT WITH PAX. HIT TREES.
19740905031799A,
19740905032169A,"AFTR PROP BLD SPRTD IN FLT,VBRTN CAUSD FUEL LN TO BRK.ACFT LNDD IN FLD.CNSUMD BY FIRE ON GRND"
19740905032179A,INITIATED GO-AROUND AFTR BALLOONED LDG.
19740905034019A,"ENG LOST PWR OVR LAKE,PLT TRIED APCH TO OTR LAKE.RAN INTO SHORE.FLOAT EQUIPPED."
19740905040399A,LOST LATERAL CYCLIC CONTROL.SEPARATION IN SHAFT BELL PN47-725-853-5 DUE OFF CTR DRILLED HOLE.
19740906028489A,"HOVERING 150AGL.TKOFF,TRNED DWNWND.GUSTS TO 18K.SETTLED WITH PWR."
19740906028909A,
19740906028919A,LNDD ON COUNTRY ROAD.
19740906029439A,"PLT PROPPED ACFT,NON-PLT PAX ABD.ACFT NOT SECURED.HIT AEROSTAR N7483S,SUBSTL DMG."
19740906030399A,
19740906030409A,AIRCRAFT NOT RECOVERED.SANK NR SHORE.
19740906031809A,
19740906031819A,PRACTICE AUTOROTATIVE LNDG.M/R BLADES STRUCK TAIL BOOM ON T/D.
19740906032189A,"PLT AWARE OF LO R TANK FUEL.INTNTLY EXHAUSTED FUEL IN R TANK,SWITCHED TO L,ENG DID NOT RESTART."
19740906032869A,LDG ON ROAD IN XWIND.BRAKE FAILED.ACFT CONTACTED SOFT SHOULDER AND VEERED INTO DITCH.
19740906032879A,TOO LOW FOR AUTOROTATION.CLUTCH LINING EXCESSIVLY WORN.NO OIL IN TANK.
19740906034839A,BIRD NOT IDENTIFIED.
19740906034849A,"ENG FAILURE,STRUCK DITCH ON EMGCY LDG IN PASTURE.NR 2 CON ROD FAILED.STRUCTURAL BKDWN RESULTED."
19740906040969A,"LND 1/3 DWN RWY,BEGAN GO ARND.R ENG LOST PWR,IP CONT TKOF.ROTATED BLO TKOF SPEED.ACFT SETTLED."
19740907028929A,"LOW ON FINAL,IP TOLD PLT FULL PWR,PLT MISTOOK FOR PULL PWR.LND IN SAGE BRUSH."
19740907028939A,PROP CAME OFF.NOSED OVR IN BEAN FLD.
19740907030419A,PLT HAD TO STRETCH GLIDE TO AVOID TALL TREES.HIT L FLOAT FIRST.GUSTING TO 20K.
19740907030429A,ENG FUEL PUMP MALFUNCT. PLT DIDNT USE AUX PUMP. LND IN PLOWED FLD.
19740907034029A,RUDDER SEPARATED INFLIGHT DUE TO ROTOR BLADE CONTACT.
19740907038339A,
19740908028949A,DRIFTED L INTO BRUSH.
19740908029449A,"ENPLANING PASSENGER WALKED INTO PROPELLER.AIRCRAFT TAXI LIGHT,STROBE LIGHT,ROTATING BEACON ON."
19740908029849A,"STRUCK SUBMERGED OBJECT DURING TAKE-OFF RUN,RESULTING PORPOISING DAMAGED NOSE SECTION AND RT FLOAT"
19740908029859A,DOING AEROBATICS & DISAPPEARED FROM SIGHT.ACFT WRECKAGE FOUND NEXT DAY IN AREA LAST SEEN.
19740908030439A,PLT STATED ENG FAILED.NO MALFUNCTION FND.DA 7400FT.
19740908030449A,INLET PUMP FITTING LEAKING IN THREAD AREA.FITTING APRD CROSS THREAD HVY AMT THREAD LUBE APLD.
19740908030459A,
19740908030469A,ACFT MADE HARD LANDING LEFT WING STRUCK GROUND ACFT FLIPPED OVER.
19740908031059A,RAN OVER LEVEE AT END OF STRIP.DUSTING ALFALFA.
19740908031069A,ENG OPERATED SATISFACTORILY AFTER ACCIDENT.RELATIVE HUMIDITY NOT REPORTED.
19740908031369A,PLT HAD ONLY 2 SOLO FLTS PREV. CRASHED ON MTN SLOPE. RECOVERY DATE 9/10/74.
19740908031379A,
19740908032191A,ACFT CPLTG 45 DEG APCH LEG TO DNWND.NOSEWHEEL CTCTD TOP OF R STABILATOR OF N40762.
19740908032192A,"ACFT ON DOWNWIND LEG,JUST COMPLETED TURN FM X-WIND LEG."
19740908032889A,ACFT OBSVD JUST ABV TREE TOPS.ACFT CRASHED AFTR CLBG TURN MAN.HIT GND STEEP NOSE DWN L WING LOW.
19740908033309A,NORMAL BRAKING SYS VERY SENSITIVE DUE TO NEW BRAKE LININGS AND BRAKE PEDAL ADJUSTMENT.
19740908034039A,AUTH LMTD 500FT AGL.AFTR SPIN ROTATION STOPPED ACFT OBSVD HALF TWIST BFR ALMOST VERT DSCNT.
19740908034859A,PLT LOOKING BACK AT SPRAY BOOM.
19740909030479A,DRIFTED TO L & HIT DIKE NEXT TO RWY.
19740909031389A,COLLIDED WITH BOULDER.CARB LOOSE ON ENGINE.AIR LEAK IN INDUCTION SYSTEM.ANNUAL INSP OVERDUE.
19740909031829A,"ACFT HIT A TRUCK, TREE AND TELEPHONE POLE."
19740909032899A,HIT VERTICAL EXHAUST ON TRUCK.PLT USED ATIS OF ANOTHER ARPT FOR BRIEFING.
19740909035819A,"L MAG,10-349310-1,DIST BLOCK BURNED IN SVRL PLACES,ALLOWED INCORRECT IGN TO PLUGS.HIT JUNKED TRUCK"
19740909036749A,"FLOAT EQUIPPED.IP DEPLANED ONTO FLOAT FOR DOCKING OPS,MOVED FWD INTO PROP."
19740909036759A,"STOLEN AIRCRAFT.DMGD TREES,HOUSES,GARAGE,SHED,BUS & 3 CARS.BLOOD ALCOHOL LVL .14 PCT."
19740909036769A,"PLT JUDGED THE ACFT WAS HI,A/S LO LWRD NOSE.HIT GND NOSE DWN AT AN ANGLE ABT 35 DEGREES."
19740909043559A,TAIL ROTOR DRIVE SPLINED COUPLING FAILED.ACFT SPUN TO R AT LOW ALT.
19740910028959A,
19740910029869A,HIT STEEL A FRAME.
19740910030489A,PWR POLE AT END OF RWY.
19740910031079A,
19740910031089A,"CARB ACLTNG PUMP DISCHARGE CK VALVE OFF ITS SEAL,LEAKING.HIT JUNKED AUTO ABT 200FT FRM RWY."
19740910031839A,ACFT TAXYING TOO FAST NR TERMINAL GATE.UNABLE TO STOP PRIOR TO COLLISION WITH LIGHT POSTS
19740910031849A,DA 9100FT.HEAVY LOAD.UN CLR OBSTRUCTIONS.HIT WIRES.NOT FAMILIAR WITH HI-ALT PERFORMANCE OF ACFT.
19740910034049A,FLOAT EQUIPPED.HEAVILY LOADED.RISING TERRAIN.LOST CTL IN STEEP TURN.
19740910034059A,"SETTLED,FLOATS CONTACTED WATER."
19740910034869A,SOD WET UN STOP PRIOR TO HITTING FENCE.
19740910036779A,PLT BLOOD ALCOHOL LEVEL 0.24 PERCENT.PLT ANNOUNCED TO PAX HE WOULD DEMONSTRATE ACFT CAPABILITIES.
19740910038349A,HARD LANDING 79 FT SHORT.NOSE WHEEL HIT RWY LIP.
19740910040979A,GR BOGGED DWN IN SOFT GND.
19740911028499A,
19740911030499A,EXHAUST HEAT ON GASCOLATOR PRODUCED VAPOR LOCK. LNDD IN TOBACCO FLD.
19740911031859A,PLT SWTCHD FUEL TNK AFTR DSCNDNG TO 1200 FT AGL
19740911032909A,"ACFT ON WEST HEADING INTO SUN SPRAYING FLYS,MOSQUITOES.COLLIDED WITH TV ANTENNA ON HOUSE"
19740911034069A,PLT ATMTD L SPIN ACFT SPUN R.ACFT ENTRD FLAT SPIN DRG RCVRY.
19740911034079A,
19740911035829A,PILOTS FOOT SLIPPED OFF R RUDDER.
19740911040409A,"HIT TREES 50FT AGL ON RWY HDG,2300FT FM RWY END.LDG GR IN TRANSIT."
19740911044399A,VERT FIN AND L STABILATOR FAILED.CLG LWR THAN FCST.
19740912030509A,
19740912031099A,PILOT DESCENDED BELOW OBSTRUCTING TERRAIN. VFR FLT NOT ADVSD BY FSS BRIEF.
19740912031399A,
19740912032919A,
19740912034089A,GENERATOR INOP.NO ATTITUDE IND INSTALLED.NO ANTI-ICE/DE-ICE EQUIP.
19740912034099A,DRIFTED L OF RWY INTO TREES.GUSTING TO 15K.
19740912034169A,"COLLIDED WITH TRUCKS,WIRES,POLE. ACFT WT NEAR MAX GROSS.ICE FOUND ON UPPER SURFACES OF ACFT."
19740912037359A,FLOAT EQUIPPED.HIT LAKE BANK.
19740912039669A,INVESTIGATION UNDER JURISDICTION OF GOVT OF CANADA.
19740913029459A,NOSEWHEEL STRUCK RWY.
19740913030519A,"BOTH ENGINES STOPPED,LANDED IN MARSH AREA COLLAPSED LDG GR AND DMGD WINGS."
19740913031869A,WIND GUSTING 20K.
19740913032349A,"FLT ENTRD LO CLD COND.NON-INSTRUMENT RATED PLT LEFT CLD IN NOSE DWN ATTITUDE,CONT TIL IMPACT."
19740913032929A,"CHK PLT SECURED R ENG,UN RESTART.PLT ATMTD ILS APCH,VFR COND.L ENG FAILED,LNDD SHRT.CROSSED ROAD"
19740913035649A,CTCTD SLT DWN SLOPE ON SOFT EARTH IN FLD OF SOY BEANS.MAIN ROTOR HIT TAILBOOM.
